Raw Tweets,Clean Tweets,Sentiment
@NHLonNBCSports @Lanejohnson65 @Titans  https://t.co/HOJ6YviUn7,,0.0
@rwhitney130 @SNFonNBC @swensonmember @Titans @morganaslade It is for Preds fans.,It is for Preds fans,0.0
hey @Nike can we finally get some @Titans gameday shoes? i'll even help with the design,hey can we finally get some gameday shoes i ll even help with the design,0.0
That's my Guys @Titans QB and OLine😂 https://t.co/2pjnsrUfbG,That s my Guys QB and OLine,0.0
@NHLonNBCSports @Titans Preds by a 100.,Preds by a 100,0.0
@charlesladd @Titans Haven’t even seen these boys in pads yet,Haven t even seen these boys in pads yet,0.0
"Titans are ranked at 2 on Kyle’s list, right behind the defending champs.

IMO, Tennessee had the best overall draf… https://t.co/v2qtyi6Zhj",Titans are ranked at 2 on Kyle s list right behind the defending champs IMO Tennessee had the best overall draf,0.22142857142857142
Titans OLine coach is the proudest man in America right now #TitanUp #Tennessee,Titans OLine coach is the proudest man in America right now TitanUp Tennessee,0.2857142857142857
@TomAWillis @Titans Best gif of all time,Best gif of all time,1.0
@SNFonNBC @Titans Those are packet fans in disguise,Those are packet fans in disguise,0.0
*Que Stone Cold theme song* @Titans @TaylorLewan77 https://t.co/vS8BkUHowE,Que Stone Cold theme song,-0.6
@Titans can you share this catfish marinade recipe? https://t.co/XU06oqhdqY,can you share this catfish marinade recipe,0.0
"If your team dont get down like this,  then your team ain't as awesome as mine! @Titans #TitanUp https://t.co/vriOG5TgyT",If your team dont get down like this then your team ain t as awesome as mine TitanUp,0.4222222222222222
@MarkQuirk1974 @JSCrews4 @NHLonNBCSports @Titans @MikeVrabel Have you ever watched these guys play? They have never been role models.,Have you ever watched these guys play They have never been role models,0.0
@GrahamMosimann @JockCartier Those gentlemen are the offensive line for the Tennessee Titans.,Those gentlemen are the offensive line for the Tennessee Titans,0.0
@natebain @Titans The best.,The best,1.0
@SNFonNBC @swensonmember @Titans @morganaslade is drinking beer from a catfish a southern thing?,is drinking beer from a catfish a southern thing,0.0
@CTVDarrell @Titans @TaylorLewan77 Typical ❌ichigan boy.,Typical ichigan boy,-0.16666666666666666
@FCoholan @Titans @Patriots They were Stone Cold Steve Austin swilling Bud Lights @budlight actually they were the… https://t.co/ZU7vVaj8jR,They were Stone Cold Steve Austin swilling Bud Lights actually they were the,-0.3
Great. @Titans missed out on a huge opportunity here. https://t.co/D3bVvOGNwP,Great missed out on a huge opportunity here,0.6000000000000001
@CSUFootball @Titans @DDawk1 So excited for this guy!!!,So excited for this guy,0.375
Tennessee Titans O-line uses catfish to funnel beers at Predators gam - Yardbarker https://t.co/3HMAGAn7X8,Tennessee Titans O line uses catfish to funnel beers at Predators gam Yardbarker,0.0
@SNFonNBC @Titans @SRyanGalloway @HansmeyerAustin @beachteach24,,0.0
@barstoolhrtland @Titans ... at least they're not using good beer. That is the grossest thing I've seen today.,at least they re not using good beer That is the grossest thing I ve seen today,0.19999999999999998
@Titans @TaylorLewan77 @MattJamilton @TeamUSA @TribalHoose you see the hat?,you see the hat,0.0
@NHLonNBCSports @Titans You’re proud enough of this behavior to post it?!? Oh right. Flipping people off while chil… https://t.co/qLVfJ9XBB2,You re proud enough of this behavior to post it Oh right Flipping people off while chil,0.36190476190476195
@NHLonNBCSports @NBCSN @Titans No wonder they suck,No wonder they suck,0.0
"Taylor Lewan de los @Titans
 🍺🐡🖕 https://t.co/11qeQg0htU",Taylor Lewan de los,0.0
@Donnie_Peters @Titans @PredsNHL @thinlizzy17 here.,Peters here,0.0
@Canadianmike777 @Titans @WilliamHillUS @AlexDonno @DolphinsDouche Not. All. The. Time. 😁,Not All The Time,0.0
